"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","BusRouteType","DepartureStopName","DestinationStopName","FirstBusTime","LastBusTime","HolidayFirstBusTime","HolidayLastBusTime"
"HSZ0007","0007","81","HSZ000701","000701","81",0,11,"古奇峰","新莊車站",NA,NA,NA,NA
"HSZ0007","0007","81","HSZ000702","000702","81",1,11,"古奇峰","新莊車站",NA,NA,NA,NA
"HSZ0008","0008","83","HSZ000801","000801","83",0,11,"成德路","北校門",NA,NA,NA,NA
"HSZ0008","0008","83","HSZ000802","000802","83",1,11,"成德路","北校門",NA,NA,NA,NA
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,11,"成德路","北校門",NA,NA,NA,NA
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,11,"成德路","北校門",NA,NA,NA,NA
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,11,"火車站","火車站",NA,NA,NA,NA
"HSZ0020","0020","2","HSZ002001","002001","2",0,11,"火車站","交大光復校區",NA,NA,NA,NA
"HSZ0020","0020","2","HSZ002002","002002","2",1,11,"火車站","交大光復校區",NA,NA,NA,NA
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,11,"火車站","交大光復校區",NA,NA,NA,NA
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,11,"火車站","交大光復校區",NA,NA,NA,NA
"HSZ0100","0100","10","HSZ010001","010001","10",0,11,"總站","成德高中",NA,NA,NA,NA
"HSZ0100","0100","10","HSZ010002","010002","10",1,11,"總站","成德高中",NA,NA,NA,NA
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,11,"火車站","順天宮",NA,NA,NA,NA
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,11,"火車站","順天宮",NA,NA,NA,NA
"HSZ0113","0113","11甲","HSZ011301","011301","11甲",0,11,"火車站","上寮",NA,NA,NA,NA
"HSZ0113","0113","11甲","HSZ011302","011302","11甲",1,11,"火車站","上寮",NA,NA,NA,NA
"HSZ0120","0120","12","HSZ012001","012001","12",0,11,"總站","莊厝",NA,NA,NA,NA
"HSZ0120","0120","12","HSZ012002","012002","12",1,11,"總站","莊厝",NA,NA,NA,NA
"HSZ0150","0150","藍15區","HSZ015001","015001","藍15區",0,11,"火車站","南寮",NA,NA,NA,NA
"HSZ0150","0150","藍15區","HSZ015002","015002","藍15區",1,11,"火車站","南寮",NA,NA,NA,NA
"HSZ0150","0150","藍15區","HSZ0150B1","0150B1","藍15區B",0,11,"火車站","南寮",NA,NA,NA,NA
"HSZ0150","0150","藍15區","HSZ0150B2","0150B2","藍15區B",1,11,"火車站","南寮",NA,NA,NA,NA
"HSZ0160","0160","16","HSZ016001","016001","16",0,11,"火車站","台大醫院新竹分院",NA,NA,NA,NA
"HSZ0160","0160","16","HSZ016002","016002","16",1,11,"火車站","台大醫院新竹分院",NA,NA,NA,NA
"HSZ0182","0182","182","HSZ018201","018201","182",0,11,"北大橋","高鐵新竹站",NA,NA,NA,NA
"HSZ0182","0182","182","HSZ018202","018202","182",1,11,"北大橋","高鐵新竹站",NA,NA,NA,NA
"HSZ0200","0200","20","HSZ020001","020001","20",0,11,"總站","普天宮",NA,NA,NA,NA
"HSZ0200","0200","20","HSZ020002","020002","20",1,11,"總站","普天宮",NA,NA,NA,NA
"HSZ0200","0200","20","HSZ0200A1","0200A1","20支A",0,11,"總站","普天宮",NA,NA,NA,NA
"HSZ0230","0230","23","HSZ023001","023001","23",0,11,"總站","玄奘大學",NA,NA,NA,NA
"HSZ0230","0230","23","HSZ023002","023002","23",1,11,"總站","玄奘大學",NA,NA,NA,NA
"HSZ0230","0230","23","HSZ0230A1","0230A1","23支A",0,11,"總站","玄奘大學",NA,NA,NA,NA
"HSZ0230","0230","23","HSZ0230A2","0230A2","23支A",1,11,"總站","玄奘大學",NA,NA,NA,NA
"HSZ0270","0270","27","HSZ027001","027001","27",0,11,"火車站","火車站",NA,NA,NA,NA
"HSZ0310","0310","31","HSZ031001","031001","31",0,11,"火車站","科學二站",NA,NA,NA,NA
"HSZ0310","0310","31","HSZ031002","031002","31",1,11,"火車站","科學二站",NA,NA,NA,NA
"HSZ0500","0500","50","HSZ0500A1","0500A1","50A",0,11,"香山區公所","香山區公所",NA,NA,NA,NA
"HSZ0510","0510","51","HSZ0510A1","0510A1","51A",0,11,"香山區公所","香山區公所",NA,NA,NA,NA
"HSZ0520","0520","52","HSZ052001","052001","52",0,11,"新莊車站","新莊車站",NA,NA,NA,NA
"HSZ0520","0520","52","HSZ0520A1","0520A1","52支A",0,11,"新莊車站","新莊車站",NA,NA,NA,NA
"HSZ0530","0530","53","HSZ053001","053001","53",0,11,"新莊車站","新莊車站",NA,NA,NA,NA
"HSZ0573","0573","世博3號","HSZ057301","057301","世博3號",0,11,"後站(公園路口)","後站(公園路口)",NA,NA,NA,NA
"HSZ0575","0575","世博5號","HSZ057501","057501","世博5號",0,11,"聖公宮","世博台灣館",NA,NA,NA,NA
"HSZ0575","0575","世博5號","HSZ057502","057502","世博5號",1,11,"聖公宮","世博台灣館",NA,NA,NA,NA
"HSZ0710","0710","71","HSZ0710A1","0710A1","71A",0,11,"北新竹後站","北新竹後站",NA,NA,NA,NA
"HSZ0720","0720","72","HSZ072001","072001","72",0,11,"北新竹後站","陽明清境",NA,NA,NA,NA
"HSZ0720","0720","72","HSZ072002","072002","72",1,11,"北新竹後站","陽明清境",NA,NA,NA,NA
"HSZ0730","0730","73","HSZ073001","073001","73",0,11,"北新竹後站","花園新城",NA,NA,NA,NA
"HSZ0730","0730","73","HSZ073002","073002","73",1,11,"北新竹後站","花園新城",NA,NA,NA,NA
"HSZ0739","0739","綠線","HSZ073901","073901","綠線",0,11,"經國路口","香山轉運站",NA,NA,NA,NA
"HSZ0739","0739","綠線","HSZ073902","073902","綠線",1,11,"經國路口","香山轉運站",NA,NA,NA,NA
"HSZ0743","0743","藍線","HSZ074301","074301","藍線",0,11,"新竹區漁會","竹中",NA,NA,NA,NA
"HSZ0743","0743","藍線","HSZ074302","074302","藍線",1,11,"新竹區漁會","竹中",NA,NA,NA,NA
